#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
262500 22057.0715783721 289.5586546329027
263000 22079.491457331755 276.803412872173
263500 21968.943706858732 308.59179947676733
264000 22029.137847292997 290.1087734510079
264500 21940.361661303617 302.5504304631753
265000 21996.82391201315 300.38019470350787
265500 22041.481347907164 296.59407253013865
266000 21973.435214388945 299.0461265303516
266500 21896.15501056967 326.85651524530545
267000 22042.125667918302 314.3755568796422
267500 22158.1231950408 273.20613745725785
268000 22038.81666027365 304.1914747496563
268500 21950.339222300627 303.8883787062627
269000 21995.749412882902 320.8700429630615
269500 21969.95082699118 299.62718577706886
270000 21889.87505565939 297.28640216939675
270500 21891.824752200224 278.0409549185267
271000 21901.33390258608 279.1485271385424
271500 21908.403276789762 282.170826255084
272000 21971.71384273825 275.9733282340055
272500 21999.538516867735 277.5450819813294
273000 21959.711372960188 305.7501113573421
273500 21994.008637774565 316.4557499841984
274000 22099.31327902136 285.791281958749
274500 22097.200716364958 286.75263812413453
275000 22052.30383049307 283.87703068369865
275500 22006.905679095365 291.9841739613286
276000 22096.331358302214 293.7790442460466
276500 22019.996657717802 305.79051415004426
277000 21976.51797996817 322.0883849214334
277500 21993.082849848844 291.04750004724684
278000 21965.64401685057 300.7878774060771
278500 21933.734945643522 302.1332603638067
279000 22092.843017924406 300.10523542529216
279500 22021.71500717459 329.7518734933263
280000 22053.45303856192 295.23477138607547
280500 21984.525740969755 294.92864638486463
281000 22065.72563170252 287.38401311641024
281500 21966.811829913237 309.4536255902424
282000 22050.870581734755 290.6531347459895
282500 22038.90562282858 318.19742576179624
283000 21969.291630614378 302.9458972036388
283500 22096.575227130033 292.9331639683531
284000 22066.981267321684 313.9743075833458
284500 22063.850303996183 301.96729350159166
285000 21955.705435383894 319.6824161389185
285500 22044.698665965177 304.21790929060637
286000 22009.724899399855 309.3118152924372
286500 21988.708814967253 317.24953719397803
287000 21993.7713861352 309.679921281709
287500 22043.49113260565 306.56838055675166
288000 21976.264849055387 322.4848780029755
288500 22049.455298770048 308.0466872005087
289000 22013.619319308378 306.18312716165525
289500 21996.053476203062 311.8072259450418
290000 21969.2088874465 324.09150231426105
290500 21996.253311980345 316.54271361607397
291000 22138.15778099356 297.1755072674944
291500 22112.990076411344 314.934437145979
292000 22013.52913461981 310.9868039326382
292500 22085.671551275827 287.28045279831315
293000 22036.709175456144 311.4034733778221
293500 22049.524771082975 291.14858212712977
294000 22080.47012649832 301.7453284688223
294500 22048.486139643766 309.38869074249186
295000 22067.455017436125 296.69410323623384
295500 21996.83561931906 311.8876310070983
296000 21954.582765925505 306.70285627075157
296500 22098.46056877432 309.50501774229775
297000 22178.697552550413 297.6753103400412
297500 22006.20576320944 314.083249933928
298000 22078.043675292112 272.93167883322684
298500 21961.286405909636 285.9915436326133
299000 21969.37101541815 296.7824937325357
299500 22123.433767665007 269.6278869013598
300000 21987.74848853407 299.042196395002
300500 22166.314361918547 292.9291086694573
301000 21988.33007179556 328.7273347698365
301500 22110.55571495352 301.57217721905744
302000 22062.89745483158 325.49143154540945
302500 22144.286313403227 301.0738010109369
303000 21963.228959429838 316.8216280623485
303500 21992.206763613798 305.0060891735178
304000 22023.92053829489 278.222091602537
304500 22061.82488857565 273.55404205017857
305000 21907.80327354727 305.598313008553
305500 22145.658991921522 275.52754574798354
306000 22093.925829756834 274.8808757703665
306500 22058.725026953794 278.8107858255703
307000 22084.46837817488 310.90960305736354
307500 22130.78318678198 316.66342133999564
308000 22078.12111603079 297.7218211137962
308500 22060.72180949507 300.6051886940944
309000 22057.654781687834 291.81385140770703
309500 22045.7036222106 282.3760944707949
310000 22021.906935382463 304.7542851513427
310500 22160.112307894804 290.08934806864306
311000 22113.597989428617 292.1813065465388
311500 22112.533157694914 296.1269872085594
312000 22140.548836100676 292.32076376967603
312500 22119.881723273375 306.57458866864147
313000 22253.426917303183 299.9528863568999
313500 22225.348715174772 298.9909794719112
314000 22103.802074778654 331.01302138448676
314500 22260.217723239042 305.6227449327645
315000 22251.61903368292 294.5119769396807
315500 22174.671133387663 298.43134822429744
316000 22177.379156458952 290.3494128848651
316500 22191.456793177702 299.01040485427603
317000 22076.870638239958 305.4474659027147
